"Date","Market","Component","Delmo","Segment","Price"
2017-07-26,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.7044
2017-07-26,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.958
2017-07-26,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.43175
2017-07-27,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.054
2017-07-27,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.25775
2017-07-27,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.355665
2017-07-27,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.71295
2017-07-27,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.6529
2017-07-27,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.5462
2017-07-27,"ERCOT ","ZONE N",2018-07-01,"pkPrice",45.4261
2017-07-27,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.60235
2017-07-27,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.78
2017-07-27,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.8255
2017-07-27,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.0735
2017-07-27,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.51225
2017-07-28,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.91035
2017-07-28,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.1124
2017-07-28,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.23768
2017-07-28,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.7036
2017-07-28,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.6893
2017-07-28,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.6017
2017-07-28,"ERCOT ","ZONE N",2018-07-01,"pkPrice",45.3618
2017-07-28,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.5728
2017-07-28,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.8448
2017-07-28,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.8774
