"Date","Market","Component","Delmo","Segment","Price"
2017-07-21,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.845
2017-07-21,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.87
2017-07-21,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.895
2017-07-21,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.901
2017-07-21,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.878
2017-07-21,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.898
2017-07-21,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.947
2017-07-21,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.076
2017-07-24,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.246
2017-07-24,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.23
2017-07-24,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.178
2017-07-24,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.823
2017-07-24,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.793
2017-07-24,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.819
2017-07-24,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.844
2017-07-24,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.85
2017-07-24,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.828
2017-07-24,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.848
2017-07-24,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.897
2017-07-24,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.025
2017-07-25,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.282
2017-07-25,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.266
2017-07-25,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.21
2017-07-25,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.842
2017-07-25,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.809
2017-07-25,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.833
2017-07-25,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.857
2017-07-25,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.863
2017-07-25,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.841
2017-07-25,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.861
2017-07-25,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.909
2017-07-25,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.039
2017-07-26,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.275
2017-07-26,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.262
2017-07-26,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.205
2017-07-26,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.838
2017-07-26,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.803
2017-07-26,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.827
2017-07-26,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.852
2017-07-26,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.857
2017-07-26,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.836
2017-07-26,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.856
2017-07-26,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.904
2017-07-26,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.035
2017-07-27,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.32
